User: Katha Pherastar,Path: T:\Lab Member Data\Katha\Plate reader\pherastar\Data\,Test run no.: 3270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test name: rogfp copy  yeast 96,Date: 24-Aug-20,Time: 6:18:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID1: stat_od10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fluorescence (FI), multichromatic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well Row,,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,C,C,C,C,C,C,C,C,C,C,C,D,D,D,D,D,D,D,D,D,D,D,E,E,E,E,F,F,F,F,G,G,G,G,H,H,H,H
Well Col,,1,2,3,5,6,7,8,9,10,11,12,1,2,3,5,6,7,8,9,10,11,12,1,2,3,5,6,7,8,9,10,11,12,1,2,3,5,6,7,8,9,10,11,12,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
Content,Time [min],Sample X1,Sample X2,Sample X3,Sample X5,Sample X6,Sample X7,Sample X8,Sample X9,Sample X10,Sample X11,Sample X12,Sample X1,Sample X2,Sample X3,Sample X5,Sample X6,Sample X7,Sample X8,Sample X9,Sample X10,Sample X11,Sample X12,Sample X1,Sample X2,Sample X3,Sample X5,Sample X6,Sample X7,Sample X8,Sample X9,Sample X10,Sample X11,Sample X12,Sample X1,Sample X2,Sample X3,Sample X5,Sample X6,Sample X7,Sample X8,Sample X9,Sample X10,Sample X11,Sample X12,Sample X13,Sample X14,Sample X15,Blank B,Sample X13,Sample X14,Sample X15,Blank B,Sample X13,Sample X14,Sample X15,Blank B,Sample X13,Sample X14,Sample X15,Blank B
Group,,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,C,C,C,C,C,C,C,C,C,C,C,D,D,D,D,D,D,D,D,D,D,D,A,A,A,A,B,B,B,B,C,C,C,C,D,D,D,D
Blank corrected based on Raw Data (400/520 1),0,148,1192,8704,-7838,-5793,55884,-2374,-11585,-12019,-6307,-17257,881,7360,2968,3120,4561,76143,12859,20776,22880,22853,-2143,-636,12265,10677,3406,11146,16824,-21420,-21808,-19259,-19212,-9320,7298,15594,16265,25064,14577,59852,-4314,2654,3634,2151,-4570,-1400,-1773,-490,,-1327,-1525,-377,,-9402,-3349,-3173,,-7658,1048,613,
Blank corrected based on Raw Data (400/520 1),2.25,-1368,-437,7873,-9385,-6827,55481,-4493,-11584,-13702,-7873,-19510,734,7971,2589,4384,4767,74830,11337,20568,22295,22371,-2563,-23,12895,10932,3210,11800,18134,-20907,-20858,-18610,-19116,-9742,6849,16111,16855,24935,14683,60796,-4458,2199,3447,2500,-4883,-4677,-2919,-1579,,-823,-1585,-439,,-9600,-2661,-2535,,-8430,961,1843,
Blank corrected based on Raw Data (400/520 1),4.5,-1419,36,8669,-9470,-6921,56947,-5190,-12760,-13779,-7936,-19954,167,8071,2022,2895,4345,74791,10334,19017,20989,20867,-3029,25,11824,10686,2629,11160,19877,-20333,-20627,-18779,-19127,-10221,7340,16905,16700,25651,14725,61448,-4081,3244,4362,2377,-5485,-5242,-2915,-1548,,-1830,-1829,-1634,,-9768,-3097,-3178,,-8635,887,1277,
Blank corrected based on Raw Data (400/520 1),6.75,-1222,-910,8354,-9362,-6880,54500,-6747,-12914,-14606,-8035,-21355,159,8174,2996,3253,4833,74028,10221,19088,20858,20711,-2598,-337,11922,10296,2462,10226,21340,-20895,-20824,-18919,-18904,-11022,6536,16414,15096,24654,14572,60169,-5040,1940,3065,1805,-6351,-6145,-2795,-1449,,-1187,-1784,-845,,-10634,-3423,-3462,,-9516,625,1143,
Blank corrected based on Raw Data (400/520 1),9,-1573,-102,7991,-9811,-7173,53940,-7569,-13561,-14825,-7338,-21753,435,8552,2572,4138,4871,73842,8914,18720,20282,19523,-2994,-851,11788,9548,2428,10140,21391,-20782,-20835,-18901,-18703,-12716,7815,16487,16427,25275,15178,62397,-4586,3309,3935,3400,-5760,-6631,-2476,-1565,,-1261,-1698,-243,,-11333,-3525,-4879,,-9077,1555,2524,
Blank corrected based on Raw Data (400/520 1),11.25,-1643,-671,8329,-10607,-7757,52367,-8790,-13923,-15694,-8276,-23123,1577,9259,3218,4383,5855,74484,9331,18144,20781,20457,-2805,-955,11588,10019,2694,10151,23528,-20555,-19816,-17277,-17492,-12295,7252,17593,17513,26641,16184,62523,-4679,3960,4785,3448,-5465,-8249,-3481,-1926,,-507,-136,-627,,-11446,-3324,-3685,,-8813,2038,2482,
Blank corrected based on Raw Data (400/520 1),13.5,-2045,-817,8066,-10512,-8524,50559,-8923,-14008,-16329,-8633,-23850,1108,9702,3919,3939,4860,71975,8144,16822,18312,18331,-3268,-835,11873,10863,3024,10865,25652,-19521,-18577,-16420,-16119,-11194,6411,16689,16407,25756,15707,62068,-5327,3278,4879,3325,-5655,-8585,-2971,-2131,,-913,-1274,-425,,-11147,-3194,-2896,,-9496,1165,970,
Blank corrected based on Raw Data (400/520 1),15.75,-1526,-814,7817,-12062,-7955,48471,-9345,-14581,-16099,-9633,-24122,852,8425,2915,2985,5039,69531,6885,15504,17564,17373,-4117,-26,12220,9890,1906,11059,25783,-19589,-18569,-16388,-16003,-11311,6396,16425,16033,25936,15625,60974,-5782,3203,3938,2199,-5938,-8960,-2762,-870,,-2114,-1570,-1089,,-10634,-2694,-3226,,-9584,511,1421,
Blank corrected based on Raw Data (400/520 1),18,-1283,-1367,8456,-12759,-8361,48072,-9751,-14163,-17067,-9740,-24571,1205,9498,3091,4259,4836,70013,6675,15685,17265,17309,-3833,446,12409,11061,2287,10781,27503,-18098,-17179,-14754,-15204,-11127,6852,17110,16593,26065,17027,61192,-4794,4420,5037,3620,-4876,-9066,-2915,-1283,,-1946,-1183,-600,,-9921,-2435,-3593,,-8937,922,1220,
Blank corrected based on Raw Data (400/520 1),20.25,-1845,-1129,7767,-13358,-9211,47874,-10025,-15205,-17552,-10740,-24653,520,9183,3174,3994,4259,69078,6510,14121,16408,16619,-4588,623,12220,10610,2873,10709,28482,-17655,-17290,-14798,-14558,-11074,7594,17118,16367,26451,17090,61087,-4684,3690,4593,3299,-5661,-9920,-3092,-887,,-1157,-1194,-762,,-9875,-1830,-3742,,-8813,567,1136,
Blank corrected based on Raw Data (400/520 1),22.5,-1717,-2597,6859,-14154,-10404,46008,-10326,-16095,-17971,-11594,-25494,1506,9781,4079,4942,5350,69514,6636,15347,16389,15420,-3924,353,11979,10558,3295,9966,29650,-18351,-16720,-14398,-14407,-11158,6672,17358,16128,26502,17480,61253,-4383,3811,3964,3858,-4594,-9738,-3213,-1696,,-927,-1362,-616,,-11014,-2025,-3940,,-8958,685,1296,
Blank corrected based on Raw Data (400/520 1),24.75,-1544,-3067,6839,-14351,-10371,46190,-10296,-16311,-18942,-11449,-25863,1041,9931,3644,4315,4730,67867,5804,13839,14852,14973,-4412,601,11934,10325,2457,10481,29587,-17342,-15871,-13543,-14066,-10576,6852,17036,16254,25812,17061,60443,-5233,4945,4466,3993,-5107,-9749,-3452,-1282,,-1871,-1578,-486,,-10771,-1187,-3099,,-8858,375,1573,
Blank corrected based on Raw Data (400/520 1),27,-2228,-3682,5071,-15584,-11494,44706,-11861,-16932,-19885,-11761,-26915,1079,9587,3702,4862,5110,67517,5810,13995,15693,14754,-4371,-327,10879,10001,1957,9955,30662,-18347,-16272,-13882,-14487,-11430,7470,16872,16761,26733,17576,62000,-3939,4191,4798,4763,-4801,-9923,-3317,-1862,,-1733,-1374,-345,,-11118,-2257,-3925,,-8217,1565,1721,
Blank corrected based on Raw Data (400/520 1),29.25,-2824,-3953,5061,-15373,-11380,44815,-10954,-17191,-19789,-12596,-26573,1549,10391,4239,5063,5200,67335,6157,13922,15267,14336,-4656,-10,11374,9885,2452,9778,31412,-18448,-15023,-13778,-14190,-10862,5736,17149,16121,26995,16678,59284,-4810,2466,3532,3312,-5284,-9906,-3425,-1564,,-1443,-632,-193,,-10070,-2195,-4575,,-8794,235,1302,
Blank corrected based on Raw Data (400/520 1),31.5,-3508,-4015,4677,-15743,-12449,43863,-11331,-17575,-20320,-12706,-27157,842,9794,4174,4235,4039,66019,5034,12623,13522,13232,-5984,593,11564,9370,1950,10137,31801,-17065,-14804,-11435,-13079,-9980,7115,16947,15998,25782,16419,59658,-4623,2906,4925,3907,-4614,-10592,-4039,-1811,,-1856,-2125,-742,,-9468,-1499,-3074,,-8643,516,704,
