,number,row,col,well,probe,background,treatment,max
1,1,A,1,A1,Cyc8-roGFP2,wt,diamide,max_ox
2,2,A,2,A2,Nsr2-roGFP2,wt,diamide,max_ox
3,3,A,3,A3,Reb1-roGFP2,wt,diamide,max_ox
4,4,A,4,A4,Rfa1-roGFP2,wt,diamide,max_ox
5,5,A,5,A5,Rfa2-roGFP2,wt,diamide,max_ox
6,6,A,6,A6,Rfa3-roGFP2,wt,diamide,max_ox
7,7,A,7,A7,Rnr4-roGFP2,wt,diamide,max_ox
8,8,A,8,A8,Spt15-roGFP2,wt,diamide,max_ox
9,9,A,9,A9,Utp6-roGFP2,wt,diamide,max_ox
10,10,A,10,A10,Utp7-roGFP2,wt,diamide,max_ox
11,11,A,11,A11,Orp1-roGFP2,wt,diamide,max_ox
12,12,A,12,A12,Spt15-roGFP2,dglr1,diamide,max_ox
13,13,B,1,B1,Cyc8-roGFP2,wt,DTT,max_red
14,14,B,2,B2,Nsr2-roGFP2,wt,DTT,max_red
15,15,B,3,B3,Reb1-roGFP2,wt,DTT,max_red
16,16,B,4,B4,Rfa1-roGFP2,wt,DTT,max_red
17,17,B,5,B5,Rfa2-roGFP2,wt,DTT,max_red
18,18,B,6,B6,Rfa3-roGFP2,wt,DTT,max_red
19,19,B,7,B7,Rnr4-roGFP2,wt,DTT,max_red
20,20,B,8,B8,Spt15-roGFP2,wt,DTT,max_red
21,21,B,9,B9,Utp6-roGFP2,wt,DTT,max_red
22,22,B,10,B10,Utp7-roGFP2,wt,DTT,max_red
23,23,B,11,B11,Orp1-roGFP2,wt,DTT,max_red
24,24,B,12,B12,pt15-roGFP2,dglr1,DTT,max_red
25,25,C,1,C1,Cyc8-roGFP2,wt,10mM H2O2,
26,26,C,2,C2,Nsr2-roGFP2,wt,10mM H2O2,
27,27,C,3,C3,Reb1-roGFP2,wt,10mM H2O2,
28,28,C,4,C4,Rfa1-roGFP2,wt,10mM H2O2,
29,29,C,5,C5,Rfa2-roGFP2,wt,10mM H2O2,
30,30,C,6,C6,Rfa3-roGFP2,wt,10mM H2O2,
31,31,C,7,C7,Rnr4-roGFP2,wt,10mM H2O2,
32,32,C,8,C8,Spt15-roGFP2,wt,10mM H2O2,
33,33,C,9,C9,Utp6-roGFP2,wt,10mM H2O2,
34,34,C,10,C10,Utp7-roGFP2,wt,10mM H2O2,
35,35,C,11,C11,Orp1-roGFP2,wt,10mM H2O2,
36,36,C,12,C12,Spt15-roGFP2,dglr1,10mM H2O2,
37,37,D,1,D1,Cyc8-roGFP2,wt,nt,
38,38,D,2,D2,Nsr2-roGFP2,wt,nt,
39,39,D,3,D3,Reb1-roGFP2,wt,nt,
40,40,D,4,D4,Rfa1-roGFP2,wt,nt,
41,41,D,5,D5,Rfa2-roGFP2,wt,nt,
42,42,D,6,D6,Rfa3-roGFP2,wt,nt,
43,43,D,7,D7,Rnr4-roGFP2,wt,nt,
44,44,D,8,D8,Spt15-roGFP2,wt,nt,
45,45,D,9,D9,Utp6-roGFP2,wt,nt,
46,46,D,10,D10,Utp7-roGFP2,wt,nt,
47,47,D,11,D11,Orp1-roGFP2,wt,nt,
48,48,D,12,D12,Spt15-roGFP2,dglr1,nt,
49,49,E,1,E1,Spt15-roGFP2,dtsa1/2,diamide,max_ox
50,50,E,2,E2,Cyc8-roGFP2,dglr1,diamide,max_ox
51,51,E,3,E3,Cyc8-roGFP2,dtsa1/2,diamide,max_ox
52,52,E,4,E4,blank,wt,diamide,max_ox
53,53,E,5,E5,NA,NA,NA,
54,54,E,6,E6,NA,NA,NA,
55,55,E,7,E7,NA,NA,NA,
56,56,E,8,E8,NA,NA,NA,
57,57,E,9,E9,NA,NA,NA,
58,58,E,10,E10,NA,NA,NA,
59,59,E,11,E11,NA,NA,NA,
60,60,E,12,E12,NA,NA,NA,
61,61,F,1,F1,Spt15-roGFP2,dtsa1/2,DTT,max_red
62,62,F,2,F2,Cyc8-roGFP2,dglr1,DTT,max_red
63,63,F,3,F3,Cyc8-roGFP2,dtsa1/2,DTT,max_red
64,64,F,4,F4,blank,wt,DTT,max_red
65,65,F,5,F5,NA,NA,NA,
66,66,F,6,F6,NA,NA,NA,
67,67,F,7,F7,NA,NA,NA,
68,68,F,8,F8,NA,NA,NA,
69,69,F,9,F9,NA,NA,NA,
70,70,F,10,F10,NA,NA,NA,
71,71,F,11,F11,NA,NA,NA,
72,72,F,12,F12,NA,NA,NA,
73,73,G,1,G1,Spt15-roGFP2,dtsa1/2,10mM H2O2,
74,74,G,2,G2,Cyc8-roGFP2,dglr1,10mM H2O2,
75,75,G,3,G3,Cyc8-roGFP2,dtsa1/2,10mM H2O2,
76,76,G,4,G4,blank,wt,10mM H2O2,
77,77,G,5,G5,NA,NA,NA,
78,78,G,6,G6,NA,NA,NA,
79,79,G,7,G7,NA,NA,NA,
80,80,G,8,G8,NA,NA,NA,
81,81,G,9,G9,NA,NA,NA,
82,82,G,10,G10,NA,NA,NA,
83,83,G,11,G11,NA,NA,NA,
84,84,G,12,G12,NA,NA,NA,
85,85,H,1,H1,Spt15-roGFP2,dtsa1/2,nt,
86,86,H,2,H2,Cyc8-roGFP2,dglr1,nt,
87,87,H,3,H3,Cyc8-roGFP2,dtsa1/2,nt,
88,88,H,4,H4,blank,wt,nt,
89,89,H,5,H5,NA,NA,NA,
90,90,H,6,H6,NA,NA,NA,
91,91,H,7,H7,NA,NA,NA,
92,92,H,8,H8,NA,NA,NA,
93,93,H,9,H9,NA,NA,NA,
94,94,H,10,H10,NA,NA,NA,
95,95,H,11,H11,NA,NA,NA,
96,96,H,12,H12,NA,NA,NA,
